# Filter Magnitude Uncertainty
PS1_g 23.4370 0.0000
GaiaDR2v2_BP 21.6771 0.2233
PS1_r 21.8862 0.1765
GaiaDR2v2_G 19.6017 0.0057
PS1_i 19.4326 0.0023
GaiaDR2v2_RP 17.7111 0.0125
TESS 18.7223 0.0199
PS1_z 17.4250 0.0090
PS1_y 16.2125 0.0052
2MASS_J 13.4240 0.0380
2MASS_H 12.0810 0.0480
2MASS_Ks 11.3710 0.0430
SPITZER_IRAC_36 10.9420 0.0700
SPITZER_IRAC_45 10.7290 0.0620
