#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3979.7944	2693.6110	347.5627	3632.2317	6673.4053
logg	4.6311	0.6922	0.8380	3.7931	5.3233
[Fe/H]	0.0995	0.2242	0.3818	-0.2823	0.3238
dist	11648.2797	4298.7773	2679.7573	8968.5224	15947.0570
rad	69.9846	18.0144	18.7755	51.2091	87.9990
Av	11.8086	3.3366	1.0266	10.7820	15.1451
grav_mass	2765.5762	17741.9662	2661.2949	104.2813	20507.5424
lum	1130.9655	5767.0366	906.2486	224.7169	6898.0022
AD	0.0521	0.0231	0.0191	0.0330	0.0752
age	0.3159	7.6235	0.3158	0.0001	7.9394
iso_mass	1.0147	0.3298	0.2474	0.7674	1.3445
eep	340.7951	124.4765	167.4775	173.3176	465.2716
PS1_g_noise	1.4537	1.8973	1.1189	0.3348	3.3510
BP_noise	0.7323	0.9500	0.4191	0.3132	1.6823
PS1_r_noise	0.5268	1.0441	0.4221	0.1047	1.5710
G_noise	0.2300	0.0528	0.0464	0.1837	0.2828
PS1_i_noise	0.0153	0.0285	0.0148	0.0005	0.0438
RP_noise	0.2271	0.0910	0.0549	0.1722	0.3181
TESS_noise	0.1400	0.0922	0.0461	0.0939	0.2322
PS1_z_noise	0.1021	0.0631	0.0402	0.0619	0.1652
PS1_y_noise	0.1168	0.0565	0.0662	0.0506	0.1733
J_noise	0.2629	0.4181	0.1604	0.1026	0.6810
H_noise	0.3259	0.2237	0.1530	0.1729	0.5496
Ks_noise	0.2491	0.2188	0.2455	0.0036	0.4679
IRAC 36_noise	0.6575	0.3279	0.4098	0.2477	0.9854
IRAC 45_noise	0.4280	0.3833	0.1917	0.2363	0.8113
