#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4306.8076	1810.3974	283.1907	4023.6169	6117.2050
logg	4.6679	0.3759	0.4749	4.1930	5.0438
[Fe/H]	0.0395	0.1697	0.1409	-0.1014	0.2093
dist	12288.8329	1951.5472	1951.5472	10337.2857	14240.3801
rad	70.6298	10.2205	11.9561	58.6737	80.8503
Av	12.0396	2.3553	0.6492	11.3904	14.3949
grav_mass	4838.2828	9928.3027	3202.6783	1635.6045	14766.5855
lum	1495.0608	4416.8154	704.8110	790.2499	5911.8762
AD	0.0518	0.0133	0.0107	0.0410	0.0651
age	0.3159	7.6235	0.3158	0.0001	13.4428277535771
iso_mas	1.0147	0.3298	0.2474	0.4685	3.1069804548182063
eep	340.7951	124.4765	167.4775	71.4731	748.1727567998561
PS1_g_noise	1.9167	1.0428	0.8824	1.0343	2.9595
BP_noise	0.9918	0.5467	0.3771	0.6148	1.5386
PS1_r_noise	0.7114	0.5846	0.3485	0.3629	1.2961
G_noise	0.2307	0.0369	0.0326	0.1981	0.2676
PS1_i_noise	0.0198	0.0122	0.0094	0.0104	0.0320
RP_noise	0.2347	0.0620	0.0389	0.1958	0.2967
TESS_noise	0.1602	0.0487	0.0345	0.1257	0.2089
PS1_z_noise	0.1058	0.0359	0.0247	0.0811	0.1418
PS1_y_noise	0.0903	0.0630	0.0165	0.0737	0.1533
J_noise	0.3230	0.2650	0.1201	0.2029	0.5880
H_noise	0.3456	0.1414	0.1028	0.2428	0.4870
Ks_noise	0.2447	0.1505	0.1575	0.0872	0.3952
IRAC 36_noise	0.6304	0.2388	0.2104	0.4200	0.8692
IRAC 45_noise	0.5076	0.2075	0.1452	0.3623	0.7150
