# Filter Magnitude Uncertainty
PS1_g 20.6763 0.0216
GaiaDR2v2_BP 20.1941 0.0742
PS1_r 18.7810 0.0000
GaiaDR2v2_G 18.6553 0.0046
PS1_i 17.6180 0.0000
GaiaDR2v2_RP 17.4432 0.0179
TESS 17.5077 0.0532
PS1_z 17.0480 0.0000
PS1_y 16.7150 0.0000
