# Filter Magnitude Uncertainty
GaiaDR2v2_BP 14.2918 0.0037
GaiaDR2v2_G 13.6531 0.0028
GaiaDR2v2_RP 12.8739 0.0043
TESS 12.9468 0.0061
2MASS_J 11.8490 0.0260
2MASS_H 11.4270 0.0270
2MASS_Ks 11.3150 0.0270
SPITZER_IRAC_36 11.1720 0.0360
SPITZER_IRAC_45 11.1870 0.0470
