#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4781.2428	273.5620	174.9003	4606.3425	5054.8048
logg	4.9029	0.3626	0.8482	4.0547	5.2654
[Fe/H]	-0.0841	0.1701	0.1939	-0.2780	0.0861
dist	422.8123	7.5419	4.1217	418.6906	430.3541
rad	1.2311	0.0601	0.0501	1.1810	1.2912
Av	0.4157	0.2849	0.2035	0.2122	0.7006
grav_mass	0.9677	6.0890	0.7526	0.2151	7.0567
lum	0.7170	0.1850	0.1170	0.6000	0.9020
AD	0.0270	0.0013	0.0012	0.0258	0.0283
age	12.5412	0.9472	7.5778	0.0018	13.488434553256571
iso_mas	0.9540	0.0860	0.0567	0.6703	1.2174989404999594
eep	413.9971	16.1156	61.4408	130.9667	432.1271888036077
BP_noise	0.0225	0.0187	0.0122	0.0103	0.0411
G_noise	0.0181	0.0144	0.0105	0.0076	0.0324
RP_noise	0.0291	0.0289	0.0164	0.0127	0.0580
TESS_noise	0.0348	0.0380	0.0201	0.0147	0.0729
J_noise	0.1598	0.1332	0.0784	0.0815	0.2931
H_noise	0.1269	0.1486	0.0714	0.0555	0.2755
Ks_noise	0.1221	0.1330	0.0751	0.0470	0.2550
IRAC 36_noise	0.1533	0.2219	0.1026	0.0507	0.3752
IRAC 45_noise	0.1547	0.1890	0.0995	0.0553	0.3437
