#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4727.9048	451.7231	271.0338	4456.8709	5179.6278
logg	4.5373	1.4594	1.0540	3.4833	5.9968
[Fe/H]	-0.0626	0.2909	0.3723	-0.4350	0.2282
dist	420.9851	13.0722	5.9677	415.0174	434.0573
rad	1.2278	0.1091	0.0804	1.1474	1.3369
Av	0.3314	0.5372	0.3295	0.0019	0.8686
grav_mass	1.0933	8.6386	0.9968	0.0965	9.7319
lum	0.6721	0.3061	0.1710	0.5011	0.9782
AD	0.0267	0.0026	0.0017	0.0250	0.0294
age	12.5412	0.9472	7.5778	4.9634	13.4884
iso_mass	0.9540	0.0860	0.0567	0.8972	1.0400
eep	413.9971	16.1156	61.4408	352.5564	430.1127
BP_noise	0.0104	0.0423	0.0115	-0.0011	0.0527
G_noise	0.0199	0.0211	0.0204	-0.0005	0.0410
RP_noise	0.0231	0.0492	0.0243	-0.0011	0.0724
TESS_noise	0.0289	0.0628	0.0310	-0.0021	0.0918
J_noise	0.0945	0.2669	0.0797	0.0148	0.3613
H_noise	0.0700	0.2698	0.0809	-0.0109	0.3398
Ks_noise	0.0538	0.2517	0.0648	-0.0110	0.3055
IRAC 36_noise	0.0548	0.3968	0.0756	-0.0208	0.4517
IRAC 45_noise	0.0691	0.3355	0.0915	-0.0224	0.4045
