#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4801.7415	777.9777	468.6612	4333.0803	5579.7192
logg	4.3993	0.4643	0.3972	4.0021	4.8637
[Fe/H]	-0.0533	0.1830	0.2252	-0.2785	0.1297
dist	1178.4902	82.2667	122.0731	1056.4171	1260.7568
rad	1.4868	0.1832	0.2730	1.2138	1.6700
Av	1.2311	0.7381	0.5559	0.6752	1.9692
grav_mass	1.3918	2.7466	0.8739	0.5179	4.1384
lum	0.9458	0.8237	0.4271	0.5187	1.7696
AD	0.0117	0.0020	0.0022	0.0095	0.0137
age	3.1582	8.1645	3.0222	0.0007	13.442743481038768
iso_mas	0.8420	0.1264	0.1470	0.3746	1.2211384006885566
eep	345.6992	31.9063	49.0867	91.6756	458.5985550908638
g_noise	0.1522	0.0865	0.0882	0.0640	0.2387
BP_noise	0.1192	0.0725	0.0595	0.0598	0.1918
r_noise	0.0764	0.0269	0.0282	0.0481	0.1032
G_noise	0.0252	0.0180	0.0110	0.0142	0.0432
RP_noise	0.0361	0.0226	0.0180	0.0181	0.0587
TESS_noise	0.1106	0.1141	0.0787	0.0320	0.2247
IRAC 36_noise	0.3591	0.2565	0.1669	0.1922	0.6155
IRAC 45_noise	0.2997	0.3932	0.1596	0.1402	0.6930
