fname,mjd,power,f,f_err_n,f_err_p,fdot,fdot_err_n,fdot_err_p,fddot,power_cl_0.9,pulse_amp,pulse_amp_err,pulse_amp_cl_0.1,pulse_amp_cl_0.9,pulse_amp_ul_0.9,f_idx,fdot_idx,fddot_idx
0932190801_PN1_src_xmm_epn_det02_ev.p,60191.518350033984,28.82,0.17353813323788853,-1.0251487075702004e-05,1.025148707572976e-05,0.00e+00,0.0,0.0,0,19.34,nan,nan,nan,nan,32.97,16733,0,0
0932190801_PN1_src_xmm_epn_det02_ev.p,60191.518350033984,28.51,0.15190749550813626,-1.0251487075702004e-05,1.025148707572976e-05,0.00e+00,0.0,0.0,0,19.10,nan,nan,nan,nan,32.84,14623,0,0
0932190801_PN1_src_xmm_epn_det02_ev.p,60191.518350033984,28.04,0.17352788175081282,0.0,2.0502974151431763e-05,0.00e+00,0.0,0.0,0,18.74,nan,nan,nan,nan,32.64,16732,0,0
0932190801_PN1_src_xmm_epn_det02_ev.p,60191.518350033984,27.35,0.17354838472496426,-2.0502974151431763e-05,0.0,0.00e+00,0.0,0.0,0,18.22,nan,nan,nan,nan,32.34,16734,0,0
0932190801_PN1_src_xmm_epn_det02_ev.p,60191.518350033984,27.30,0.15189724402106056,0.0,2.0502974151431763e-05,0.00e+00,0.0,0.0,0,18.18,nan,nan,nan,nan,32.32,14622,0,0
