phase profile err
0.00390625 4.0 2.0
0.01171875 7.0 2.6457513110645907
0.01953125 8.0 2.8284271247461903
0.02734375 5.0 2.23606797749979
0.03515625 7.0 2.6457513110645907
0.04296875 3.0 1.7320508075688772
0.05078125 4.0 2.0
0.05859375 2.0 1.4142135623730951
0.06640625 9.0 3.0
0.07421875 4.0 2.0
0.08203125 4.0 2.0
0.08984375 7.0 2.6457513110645907
0.09765625 6.0 2.449489742783178
0.10546875 3.0 1.7320508075688772
0.11328125 7.0 2.6457513110645907
0.12109375 5.0 2.23606797749979
0.12890625 8.0 2.8284271247461903
0.13671875 8.0 2.8284271247461903
0.14453125 7.0 2.6457513110645907
0.15234375 5.0 2.23606797749979
0.16015625 3.0 1.7320508075688772
0.16796875 11.0 3.3166247903554
0.17578125 5.0 2.23606797749979
0.18359375 6.0 2.449489742783178
0.19140625 4.0 2.0
0.19921875 7.0 2.6457513110645907
0.20703125 7.0 2.6457513110645907
0.21484375 3.0 1.7320508075688772
0.22265625 12.0 3.4641016151377544
0.23046875 12.0 3.4641016151377544
0.23828125 9.0 3.0
0.24609375 8.0 2.8284271247461903
0.25390625 6.0 2.449489742783178
0.26171875 7.0 2.6457513110645907
0.26953125 11.0 3.3166247903554
0.27734375 12.0 3.4641016151377544
0.28515625 7.0 2.6457513110645907
0.29296875 7.0 2.6457513110645907
0.30078125 10.0 3.1622776601683795
0.30859375 9.0 3.0
0.31640625 5.0 2.23606797749979
0.32421875 10.0 3.1622776601683795
0.33203125 8.0 2.8284271247461903
0.33984375 10.0 3.1622776601683795
0.34765625 6.0 2.449489742783178
0.35546875 17.0 4.123105625617661
0.36328125 7.0 2.6457513110645907
0.37109375 5.0 2.23606797749979
0.37890625 12.0 3.4641016151377544
0.38671875 11.0 3.3166247903554
0.39453125 14.0 3.7416573867739413
0.40234375 9.0 3.0
0.41015625 7.0 2.6457513110645907
0.41796875 8.0 2.8284271247461903
0.42578125 8.0 2.8284271247461903
0.43359375 8.0 2.8284271247461903
0.44140625 13.0 3.605551275463989
0.44921875 7.0 2.6457513110645907
0.45703125 4.0 2.0
0.46484375 11.0 3.3166247903554
0.47265625 9.0 3.0
0.48046875 9.0 3.0
