fname,mjd,power,f,f_err_n,f_err_p,fdot,fdot_err_n,fdot_err_p,fddot,power_cl_0.9,pulse_amp,pulse_amp_err,pulse_amp_cl_0.1,pulse_amp_cl_0.9,pulse_amp_ul_0.9,f_idx,fdot_idx,fddot_idx
0844101101_PN129_src_xmm_epn_det08_ev.p,58942.822422839476,25.86,0.03541567403693457,0.0,0.0,0.00e+00,0.0,0.0,0,17.08,nan,nan,nan,nan,46.73,1445,0,0
0844101101_PN129_src_xmm_epn_det08_ev.p,58942.822422839476,25.78,0.8170248256033645,0.0,0.0,0.00e+00,0.0,0.0,0,17.02,nan,nan,nan,nan,46.68,38578,0,0
0844101101_PN129_src_xmm_epn_det08_ev.p,58942.822422839476,24.61,0.4664131422585763,0.0,0.0,0.00e+00,0.0,0.0,0,16.14,nan,nan,nan,nan,45.89,21921,0,0
0844101101_PN129_src_xmm_epn_det08_ev.p,58942.822422839476,24.49,0.8318853556172578,0.0,0.0,0.00e+00,0.0,0.0,0,16.05,nan,nan,nan,nan,45.81,39284,0,0
0844101101_PN129_src_xmm_epn_det08_ev.p,58942.822422839476,24.08,0.6882265491798334,0.0,0.0,0.00e+00,0.0,0.0,0,15.75,nan,nan,nan,nan,45.54,32459,0,0
