phase profile err
0.00390625 1.0 1.0
0.01171875 1.0 1.0
0.01953125 2.0 1.4142135623730951
0.02734375 4.0 2.0
0.03515625 3.0 1.7320508075688772
0.04296875 2.0 1.4142135623730951
0.05078125 3.0 1.7320508075688772
0.05859375 4.0 2.0
0.06640625 3.0 1.7320508075688772
0.07421875 2.0 1.4142135623730951
0.08203125 6.0 2.449489742783178
0.08984375 3.0 1.7320508075688772
0.09765625 5.0 2.23606797749979
0.10546875 4.0 2.0
0.11328125 2.0 1.4142135623730951
0.12109375 2.0 1.4142135623730951
0.12890625 5.0 2.23606797749979
0.13671875 3.0 1.7320508075688772
0.14453125 3.0 1.7320508075688772
0.15234375 1.0 1.0
0.16015625 4.0 2.0
0.16796875 4.0 2.0
0.17578125 1.0 1.0
0.18359375 4.0 2.0
0.19140625 3.0 1.7320508075688772
0.19921875 2.0 1.4142135623730951
0.20703125 1.0 1.0
0.21484375 0.0 0.0
0.22265625 5.0 2.23606797749979
0.23046875 2.0 1.4142135623730951
0.23828125 3.0 1.7320508075688772
0.24609375 6.0 2.449489742783178
0.25390625 2.0 1.4142135623730951
0.26171875 2.0 1.4142135623730951
0.26953125 1.0 1.0
0.27734375 2.0 1.4142135623730951
0.28515625 1.0 1.0
0.29296875 2.0 1.4142135623730951
0.30078125 3.0 1.7320508075688772
0.30859375 5.0 2.23606797749979
0.31640625 0.0 0.0
0.32421875 3.0 1.7320508075688772
0.33203125 4.0 2.0
0.33984375 4.0 2.0
0.34765625 3.0 1.7320508075688772
0.35546875 2.0 1.4142135623730951
0.36328125 3.0 1.7320508075688772
0.37109375 3.0 1.7320508075688772
0.37890625 4.0 2.0
0.38671875 2.0 1.4142135623730951
0.39453125 0.0 0.0
0.40234375 0.0 0.0
0.41015625 2.0 1.4142135623730951
0.41796875 2.0 1.4142135623730951
0.42578125 5.0 2.23606797749979
0.43359375 5.0 2.23606797749979
0.44140625 3.0 1.7320508075688772
0.44921875 5.0 2.23606797749979
0.45703125 3.0 1.7320508075688772
0.46484375 1.0 1.0
0.47265625 4.0 2.0
0.48046875 3.0 1.7320508075688772
0.48828125 2.0 1.4142135623730951
0.49609375 2.0 1.4142135623730951
0.50390625 1.0 1.0
0.51171875 4.0 2.0
0.51953125 2.0 1.4142135623730951
0.52734375 3.0 1.7320508075688772
0.53515625 2.0 1.4142135623730951
0.54296875 1.0 1.0
0.55078125 3.0 1.7320508075688772
0.55859375 2.0 1.4142135623730951
0.56640625 1.0 1.0
0.57421875 1.0 1.0
0.58203125 5.0 2.23606797749979
0.58984375 5.0 2.23606797749979
0.59765625 2.0 1.4142135623730951
0.60546875 5.0 2.23606797749979
0.61328125 2.0 1.4142135623730951
0.62109375 6.0 2.449489742783178
0.62890625 3.0 1.7320508075688772
0.63671875 2.0 1.4142135623730951
0.64453125 3.0 1.7320508075688772
0.65234375 3.0 1.7320508075688772
0.66015625 6.0 2.449489742783178
0.66796875 5.0 2.23606797749979
0.67578125 9.0 3.0
0.68359375 7.0 2.6457513110645907
0.69140625 9.0 3.0
0.69921875 8.0 2.8284271247461903
0.70703125 8.0 2.8284271247461903
0.71484375 5.0 2.23606797749979
0.72265625 3.0 1.7320508075688772
0.73046875 8.0 2.8284271247461903
0.73828125 3.0 1.7320508075688772
0.74609375 2.0 1.4142135623730951
0.75390625 6.0 2.449489742783178
0.76171875 4.0 2.0
0.76953125 3.0 1.7320508075688772
0.77734375 4.0 2.0
0.78515625 4.0 2.0
0.79296875 3.0 1.7320508075688772
0.80078125 2.0 1.4142135623730951
0.80859375 4.0 2.0
0.81640625 2.0 1.4142135623730951
0.82421875 4.0 2.0
0.83203125 3.0 1.7320508075688772
0.83984375 3.0 1.7320508075688772
0.84765625 3.0 1.7320508075688772
0.85546875 1.0 1.0
0.86328125 6.0 2.449489742783178
0.87109375 2.0 1.4142135623730951
0.87890625 3.0 1.7320508075688772
0.88671875 5.0 2.23606797749979
0.89453125 5.0 2.23606797749979
0.90234375 2.0 1.4142135623730951
0.91015625 0.0 0.0
0.91796875 0.0 0.0
0.92578125 2.0 1.4142135623730951
0.93359375 3.0 1.7320508075688772
0.94140625 3.0 1.7320508075688772
0.94921875 2.0 1.4142135623730951
0.95703125 2.0 1.4142135623730951
0.96484375 2.0 1.4142135623730951
0.97265625 6.0 2.449489742783178
0.98046875 4.0 2.0
0.98828125 2.0 1.4142135623730951
0.99609375 1.0 1.0
1.00390625 1.0 1.0
1.01171875 1.0 1.0
1.01953125 2.0 1.4142135623730951
1.02734375 4.0 2.0
1.03515625 3.0 1.7320508075688772
1.04296875 2.0 1.4142135623730951
1.05078125 3.0 1.7320508075688772
1.05859375 4.0 2.0
1.06640625 3.0 1.7320508075688772
1.07421875 2.0 1.4142135623730951
1.08203125 6.0 2.449489742783178
1.08984375 3.0 1.7320508075688772
1.09765625 5.0 2.23606797749979
1.10546875 4.0 2.0
1.11328125 2.0 1.4142135623730951
1.12109375 2.0 1.4142135623730951
1.12890625 5.0 2.23606797749979
1.13671875 3.0 1.7320508075688772
1.14453125 3.0 1.7320508075688772
1.15234375 1.0 1.0
1.16015625 4.0 2.0
1.16796875 4.0 2.0
1.17578125 1.0 1.0
1.18359375 4.0 2.0
1.19140625 3.0 1.7320508075688772
1.19921875 2.0 1.4142135623730951
1.20703125 1.0 1.0
1.21484375 0.0 0.0
1.22265625 5.0 2.23606797749979
1.23046875 2.0 1.4142135623730951
1.23828125 3.0 1.7320508075688772
