#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4630.7100	1707.9193	947.2493	3683.4607	6338.6293
logg	3.8030	1.6720	0.3525	3.4505	5.4750
[Fe/H]	-0.2761	0.5476	0.2447	-0.5208	0.2714
dist	4132.8111	3433.0516	2080.6373	2052.1738	7565.8627
rad	5.6726	5.3452	3.3089	2.3636	11.0177
Av	4.4053	1.9903	1.5576	2.8478	6.3956
grav_mass	nan	nan	nan	nan	nan
lum	13.7389	34.3446	13.7378	0.0010	48.0835
AD	0.0112	0.0142	0.0081	0.0031	0.0254
age	1.3534	10.3749	1.3532	0.0001	11.7283
iso_mass	0.9021	0.2313	0.2643	0.6378	1.1334
eep	342.3099	91.9209	59.3038	283.0061	434.2308
BP_noise	0.7220	0.9366	0.4995	0.2225	1.6586
G_noise	0.0046	0.0518	0.0086	-0.0040	0.0564
RP_noise	0.0207	0.1568	0.0298	-0.0091	0.1775
TESS_noise	0.5756	0.2268	0.3314	0.2442	0.8024
IRAC 36_noise	1.1803	0.5255	0.7883	0.3919	1.7058
IRAC 45_noise	0.9870	1.5184	0.6102	0.3768	2.5054
