#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4615.1006	1053.8612	377.7993	4237.3013	5668.9618
logg	4.4918	0.4658	0.6916	3.8001	4.9576
[Fe/H]	-0.1403	0.1985	0.2056	-0.3459	0.0582
dist	4173.4591	2598.9666	857.1060	3316.3531	6772.4257
rad	5.6179	4.1245	1.3951	4.2229	9.7424
Av	4.7939	0.8099	1.0799	3.7140	5.6038
grav_mass	18.5827	68.6439	17.1610	1.4217	87.2266
lum	15.7754	32.6890	9.8067	5.9687	48.4644
AD	0.0111	0.0093	0.0048	0.0063	0.0204
age	1.3534	10.3749	1.3532	0.0001	13.442385385448778
iso_mas	0.9021	0.2313	0.2643	0.2602	1.6715577520326006
eep	342.3099	91.9209	59.3038	72.4775	514.2910201526712
BP_noise	0.8374	0.6189	0.2919	0.5455	1.4563
G_noise	0.0182	0.0249	0.0095	0.0087	0.0431
RP_noise	0.0766	0.0677	0.0544	0.0222	0.1444
TESS_noise	0.5411	0.1449	0.1594	0.3817	0.6860
IRAC 36_noise	1.1129	0.3526	0.3301	0.7829	1.4655
IRAC 45_noise	1.4705	0.5102	0.7049	0.7655	1.9806
