# Filter Magnitude Uncertainty
GaiaDR2v2_BP 21.1055 0.1677
GaiaDR2v2_G 18.5689 0.0040
GaiaDR2v2_RP 16.9516 0.0121
TESS 17.4528 0.0388
SPITZER_IRAC_36 10.7670 0.0930
SPITZER_IRAC_45 10.7800 0.1120
