#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4729.9567	1558.3533	1005.8462	3724.1105	6288.3100
logg	4.6563	0.9813	1.1874	3.4689	5.6376
[Fe/H]	-0.1430	0.3093	0.3535	-0.4965	0.1663
dist	3160.1561	3768.7512	1037.7721	2122.3840	6928.9073
rad	3.6912	4.3986	1.4662	2.2250	8.0898
Av	4.1328	1.7275	1.7545	2.3783	5.8603
grav_mass	29.5311	29.4785	29.4785	0.0526	59.0096
lum	6.3128	20.7014	6.2104	0.1024	27.0142
AD	0.0084	0.0116	0.0050	0.0034	0.0199
age	0.8571	10.1480	0.8569	0.0001	11.0051
iso_mass	0.7848	0.3244	0.1836	0.6012	1.1092
eep	340.5283	90.1214	74.3859	266.1424	430.6497
BP_noise	0.3084	1.3449	0.3522	-0.0438	1.6533
G_noise	0.0224	0.0590	0.0208	0.0016	0.0814
RP_noise	0.0283	0.2400	0.0359	-0.0075	0.2683
TESS_noise	0.3241	0.2948	0.2895	0.0346	0.6190
IRAC 36_noise	0.9551	1.7625	0.6609	0.2942	2.7176
IRAC 45_noise	1.1778	2.1648	0.8856	0.2922	3.3427
