# Filter Magnitude Uncertainty
GaiaDR2v2_BP 20.6100 0.1118
GaiaDR2v2_G 18.5553 0.0045
GaiaDR2v2_RP 17.0332 0.0146
TESS 17.2722 0.0352
SPITZER_IRAC_36 11.5200 0.2070
SPITZER_IRAC_45 11.6510 0.2540
