#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4692.5345	858.6202	462.3340	4230.2005	5551.1547
logg	4.4643	0.5641	0.3927	4.0716	5.0284
[Fe/H]	-0.1389	0.1656	0.1893	-0.3282	0.0266
dist	4392.3517	1270.7329	1155.2118	3237.1399	5663.0846
rad	4.9818	2.1075	1.3795	3.6023	7.0893
Av	4.1096	0.8752	0.8341	3.2754	4.9847
grav_mass	17.9791	58.2517	10.5912	7.3879	76.2308
lum	10.2489	15.1593	5.9555	4.2934	25.4082
AD	0.0101	0.0059	0.0034	0.0067	0.0160
age	0.8571	10.1480	0.8569	0.0001	13.44059469154448
iso_mas	0.7848	0.3244	0.1836	0.2891	2.119077475458798
eep	340.5283	90.1214	74.3859	74.4557	502.1745804442757
BP_noise	0.6396	0.6648	0.3835	0.2560	1.3043
G_noise	0.0356	0.0250	0.0160	0.0196	0.0606
RP_noise	0.1078	0.0933	0.0539	0.0539	0.2010
TESS_noise	0.3291	0.1696	0.1404	0.1888	0.4987
IRAC 36_noise	1.4032	0.8856	0.5704	0.8328	2.2888
IRAC 45_noise	1.5906	1.0484	0.6621	0.9285	2.6390
