#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4189.2518	1129.9568	376.6523	3812.5996	5319.2087
logg	4.2719	1.2554	0.8209	3.4510	5.5273
[Fe/H]	-0.1840	0.3866	0.2974	-0.4814	0.2027
dist	1528.3087	556.3069	84.2889	1444.0198	2084.6157
rad	3.5709	0.9487	0.6058	2.9651	4.5196
Av	0.8504	1.8604	0.3930	0.4574	2.7108
grav_mass	7.0799	42.2225	6.4958	0.5841	49.3023
lum	3.8093	6.3896	1.8878	1.9215	10.1989
AD	0.0194	0.0060	0.0049	0.0145	0.0254
age	1.2181	4.5108	1.2179	0.0002	5.7290
iso_mass	1.0692	0.2876	0.1890	0.8802	1.3568
eep	342.4289	76.1354	49.3470	293.0818	418.5643
PS1_g_noise	0.0483	0.0848	0.0535	-0.0052	0.1331
BP_noise	0.1162	0.1862	0.1151	0.0011	0.3025
PS1_r_noise	0.0305	0.0326	0.0245	0.0060	0.0631
G_noise	0.0195	0.0470	0.0205	-0.0009	0.0666
PS1_i_noise	0.0280	0.0326	0.0270	0.0010	0.0606
RP_noise	0.0275	0.1497	0.0345	-0.0070	0.1772
TESS_noise	0.0861	0.3598	0.0977	-0.0116	0.4459
PS1_z_noise	0.0767	0.1442	0.0455	0.0312	0.2209
PS1_y_noise	0.2532	1.6380	0.3822	-0.1290	1.8912
