#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4580.1116	507.2919	355.8615	4224.2502	5087.4036
logg	4.4510	0.5380	0.4611	3.9899	4.9889
[Fe/H]	-0.1599	0.1617	0.1497	-0.3097	0.0017
dist	1746.6917	172.8035	170.4995	1576.1922	1919.4953
rad	3.6846	0.3993	0.3502	3.3344	4.0839
Av	1.5794	0.5441	0.5866	0.9928	2.1235
grav_mass	8.9663	23.7191	5.9298	3.0366	32.6855
lum	5.3424	2.9671	1.7355	3.6069	8.3095
AD	0.0196	0.0029	0.0025	0.0170	0.0225
age	1.2181	4.5108	1.2179	0.0002	13.442506699649927
iso_mas	1.0692	0.2876	0.1890	0.5187	1.7470766283964123
eep	342.4289	76.1354	49.3470	78.7747	498.9294542389484
PS1_g_noise	0.0587	0.0476	0.0354	0.0234	0.1064
BP_noise	0.1381	0.1185	0.0660	0.0721	0.2565
PS1_r_noise	0.0336	0.0161	0.0134	0.0202	0.0497
G_noise	0.0291	0.0254	0.0149	0.0141	0.0544
PS1_i_noise	0.0281	0.0223	0.0113	0.0168	0.0504
RP_noise	0.0737	0.0602	0.0434	0.0303	0.1339
TESS_noise	0.1943	0.1283	0.1026	0.0917	0.3226
PS1_z_noise	0.1155	0.0632	0.0500	0.0655	0.1787
PS1_y_noise	0.7434	0.8587	0.3963	0.3471	1.6021
