# Filter Magnitude Uncertainty
PS1_g 16.8432 0.0107
GaiaDR2v2_BP 16.4639 0.0271
PS1_r 15.5541 0.0036
GaiaDR2v2_G 15.4879 0.0057
PS1_i 14.8502 0.0037
GaiaDR2v2_RP 14.4661 0.0150
TESS 14.5427 0.0302
PS1_z 14.4301 0.0139
PS1_y 14.0568 0.2020
